Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2018-03-23T00:00:00,3448,00:57:28,1,-2
2018-03-23T00:00:00,5,00:00:05,1,-1
2018-03-24T00:00:00,2823,00:47:03,1,2
2018-03-24T00:00:00,2615,00:43:35,1,-2
2018-03-24T00:00:00,1778,00:29:38,1,0
2018-03-24T00:00:00,805,00:13:25,1,1
2018-03-25T00:00:00,8793,02:26:33,1,2
2018-03-25T00:00:00,4815,01:20:15,1,-2
2018-03-25T00:00:00,3242,00:54:02,1,0
2018-03-25T00:00:00,2928,00:48:48,1,1
2018-03-25T00:00:00,40,00:00:40,1,-1
2018-03-26T00:00:00,39115,10:51:55,1,2
2018-03-26T00:00:00,9627,02:40:27,1,1
2018-03-26T00:00:00,7200,02:00:00,1,0
2018-03-26T00:00:00,3042,00:50:42,1,-2
2018-03-26T00:00:00,108,00:01:48,1,-1
2018-03-27T00:00:00,25949,07:12:29,1,2
2018-03-27T00:00:00,16150,04:29:10,1,1
2018-03-27T00:00:00,11483,03:11:23,1,0
2018-03-27T00:00:00,3680,01:01:20,1,-2
2018-03-27T00:00:00,12,00:00:12,1,-1
2018-03-28T00:00:00,8456,02:20:56,1,1
2018-03-28T00:00:00,8089,02:14:49,1,2
2018-03-28T00:00:00,4047,01:07:27,1,0
2018-03-28T00:00:00,339,00:05:39,1,-2
2018-03-29T00:00:00,15880,04:24:40,1,2
2018-03-29T00:00:00,11856,03:17:36,1,1
2018-03-29T00:00:00,3028,00:50:28,1,0
2018-03-29T00:00:00,892,00:14:52,1,-2
2018-03-30T00:00:00,35693,09:54:53,1,2
2018-03-30T00:00:00,9376,02:36:16,1,1
2018-03-30T00:00:00,4201,01:10:01,1,0
2018-03-30T00:00:00,2764,00:46:04,1,-2
2018-03-30T00:00:00,8,00:00:08,1,-1
2018-03-31T00:00:00,4166,01:09:26,1,2
2018-03-31T00:00:00,3682,01:01:22,1,1
2018-03-31T00:00:00,3604,01:00:04,1,0
2018-03-31T00:00:00,2070,00:34:30,1,-2
2018-03-31T00:00:00,11,00:00:11,1,-1
